origin,destination,num_flights,total_route_co2,avg_co2_per_flight,avg_price
GRU,PEK,33,115713000,3506454.545,6169.060606
HGH,PEK,398,114272000,287115.5779,608.776699
VCP,JFK,106,114217000,1077518.868,1534.509434
VIE,SHA,75,114211000,1522813.333,4976.733333
XIY,MAN,91,114134000,1254219.78,1976.648352
CGO,MCO,29,113680000,3920000,8197.275862
VCP,OSL,98,113538000,1158551.02,1866.214286
CGO,DEL,128,113278000,884984.375,3010.03125
VCP,CMN,109,112950000,1036238.532,1825.477064
SHA,CGK,167,112916000,676143.7126,2068.952096
ALG,MAN,306,112889000,368918.3007,1126.51634
XIY,BOG,20,111851000,5592550,11363.05
ADD,CMN,118,111750000,947033.8983,1050.355932
HGH,LIM,24,111690000,4653750,8020.666667
CTU,ATH,78,111397000,1428166.667,3305.987179
ALG,MAD,281,111225000,395818.5053,748.658363
XIY,ZRH,87,111119000,1277229.885,3165.264368
DEL,ADD,161,111099000,690055.9006,1657.490683
ALG,DXB,135,111042000,822533.3333,1412.718519
CGO,LIM,15,110890000,7392666.667,11180.13333
PEK,BLR,136,110316000,811147.0588,1804.301471
GRU,SHA,36,110175000,3060416.667,5395.25
ALG,BRU,315,109784000,348520.6349,845.3777778
XIY,CDG,92,109238000,1187369.565,2497.880435
XIY,CAN,426,109072000,256037.5587,479.9156627
SZX,ARN,94,108739000,1156797.872,3579.351064
PVG,ALG,57,108380000,1901403.509,3822.368421
VCP,MAN,85,107295000,1262294.118,1802.647059
ALG,ARN,266,107275000,403289.4737,994.8834586
ALG,OSL,280,106394000,379978.5714,1031.771429
AEP,DME,48,106157000,2211604.167,7727.9375
CGO,MAD,68,106006000,1558911.765,2259.573529
PEK,CPH,66,105327000,1595863.636,2931.727273
HGH,MCO,33,104594000,3169515.152,6085.151515
SZX,MNL,236,104223000,441622.8814,1210.292373
HGH,PVG,364,103568000,284527.4725,608.6404494
CGO,ARN,73,103066000,1411863.014,3463.60274
SCL,ADD,56,102342000,1827535.714,3862.25
BOM,ADD,167,102225000,612125.7485,1500.844311
SZX,HND,171,101867000,595713.4503,2595.169591
HGH,SHA,385,101774000,264348.0519,658.0337662
ALG,VIE,299,101062000,338000,947.2240803
PEK,VIE,76,100878000,1327342.105,2997.907895
ADD,JNB,123,100780000,819349.5935,3998.390244
ALG,CPH,271,100462000,370708.4871,955.9815498
HGH,ATH,89,100033000,1123966.292,1916.876404
ALG,LHR,283,99637000,352074.2049,677.2685512
SYD,PVG,79,99156000,1255139.241,3249.075949
ALG,ATH,239,99143000,414824.2678,755.0794979
PVG,SGN,183,99068000,541355.1913,2042.153005
CGO,VIE,74,98995000,1337770.27,2914.986486
PEK,MUC,73,98659000,1351493.151,2970.287671
ALG,LIS,245,98600000,402448.9796,755.6653061
ALG,AMS,284,98179000,345700.7042,830.6021127
ALG,MUC,289,97910000,338788.9273,757.5051903
SHA,TPE,246,97583000,396678.8618,1420.613821
HGH,ORD,35,97569000,2787685.714,5655.714286
YYZ,CTU,49,97450000,1988775.51,4504.897959
CAN,MNL,209,97353000,465803.8278,1584.167464
PEK,HND,241,95205000,395041.4938,1806.390041
SHA,NBO,78,94254000,1208384.615,2223.910256
SCL,CAN,31,94152000,3037161.29,5509.16129
VCP,ARN,73,94062000,1288520.548,1961.972603
PEK,CDG,59,94002000,1593254.237,3863.983051
ALG,NRT,42,93731000,2231690.476,2689.452381
CGO,PHX,38,93432000,2458736.842,4531.710526
FRA,SAW,285,93285000,327315.7895,628.6561404
CAN,KUL,223,92490000,414753.3632,1872.139013
SZX,CAI,72,92439000,1283875,2891.083333
XIY,AMS,74,91919000,1242148.649,2701.283784
XIY,DUB,65,91244000,1403753.846,2682.523077
HGH,VIE,95,91203000,960031.5789,2245.410526
CAN,CAI,77,90685000,1177727.273,3129.220779
PVG,PEK,251,90388000,360111.5538,789.5673469
VCP,CPH,60,89633000,1493883.333,2255.666667
ADD,KUL,82,89031000,1085743.902,1341.195122
CDG,SVO,144,88528000,614777.7778,1336.8125
CGO,LGW,72,88386000,1227583.333,3535.638889
HGH,MIA,30,88051000,2935033.333,5826.766667
CGO,CGK,135,87971000,651637.037,1236.266667
DUB,DME,104,87778000,844019.2308,1657.307692
CAN,ICN,197,87552000,444426.3959,1068.233503
PEK,AMS,56,87416000,1561000,2857.803571
SHA,JNB,69,87272000,1264811.594,3958.956522
PEK,LGW,63,87065000,1381984.127,1346.84127
CGO,DUB,59,86721000,1469847.458,3093.898305
HGH,CPH,89,86682000,973955.0562,2629.41573
SZX,DOH,88,86345000,981193.1818,2106.329545
AEP,SHA,34,86055000,2531029.412,8701.617647
ALG,ZRH,262,86047000,328423.6641,777.7442748
DEL,SAW,140,85765000,612607.1429,1007.471429
SHA,PEK,347,85625000,246757.9251,695.2191781
CTU,SCL,29,85372000,2943862.069,6283.896552
CDG,SHA,54,85227000,1578277.778,5082.944444
XIY,MEX,43,85121000,1979558.14,5854.139535
FRA,CMN,222,85084000,383261.2613,371.5945946
ADD,DEL,138,84922000,615376.8116,784.8115942
VIE,SAW,279,84921000,304376.3441,528.0645161
FRA,PVG,53,84643000,1597037.736,5199.096154
ALG,DUB,244,84168000,344950.8197,841.4508197
CGO,ZRH,65,83167000,1279492.308,3264.492308
SZX,ICN,164,83089000,506640.2439,996.7865854
SHA,CAI,69,82992000,1202782.609,2752.913043
CTU,BLR,94,82852000,881404.2553,3001.148936
XIY,CGK,127,82704000,651212.5984,1352.732283
MEL,SHA,81,82504000,1018567.901,4941.703704
PEK,BKK,168,82470000,490892.8571,1701.095238
CGO,PTY,11,81995000,7454090.909,10543
ATH,DME,112,81899000,731241.0714,1995.544643
HGH,IAH,31,81868000,2640903.226,7433.322581
FRA,SVO,132,80342000,608651.5152,1907.325758
CGO,HND,85,79680000,937411.7647,2952.139241
ADD,BOM,134,79661000,594485.0746,782.4402985
VCP,DEL,27,79629000,2949222.222,4331.555556
ADD,CNF,51,79439000,1557627.451,1411.156863
CGO,BRU,51,79232000,1553568.627,1709.745098
SHA,CNF,21,79050000,3764285.714,6936.380952
AEP,CMN,53,78475000,1480660.377,5294.886792
CGO,MEX,27,77756000,2879851.852,6914.777778
SZX,AEP,29,77469000,2671344.828,4917.517241
ALG,LGW,127,76268000,600535.4331,983.4015748
SHA,CMN,55,76203000,1385509.091,1702.236364
ADD,NRT,48,76134000,1586125,3205.75
PEK,ZRH,43,76109000,1769976.744,4492.860465
HGH,PTY,23,75422000,3279217.391,6004.086957
ADD,NBO,111,75008000,675747.7477,1875.971698
ALG,MXP,215,74921000,348469.7674,726.3302326
XIY,CGO,252,74783000,296757.9365,537.9385246
MUC,SVO,125,74695000,597560,2243.504
